main_cate_name,sub_cate_name,ranking,title,ori_price,dis_price,discount_percent
도서/음반,ALL,7,(교재+교구 특별세트) 도전~ 역사탐험대 | 한국사 / 세계사 | 초등역사교재 | 9/15일부터 순차발송,51700,47000,9
스포츠/자동차,자동차용품,5,[오토비]AZ100 블랙박스 32G 2배저장 전후방FHD 무료장착 AS2년,318000,165000,48
스포츠/자동차,자동차용품,6,(행사)최신 15W 차량용 핸드폰 고속 무선 충전 거치대,35000,29900,14
스포츠/자동차,자동차용품,7,2개1세트/ NCR 퓨전X501 하이브리드 자동차 와이퍼,23800,19800,16
스포츠/자동차,등산/아웃도어,5,[머렐][머렐] 키즈 컬러블럭 중량다운자켓 5219KD405 406 407,59000,41300,30
스포츠/자동차,등산/아웃도어,6,[코오롱스포츠][코오롱스포츠] 남녀공용 테라노바 롱 다운 JWJDW19221,235000,164500,30
스포츠/자동차,등산/아웃도어,7,[네파](신세계하남점)네파 남여 클래식 팔라스 플리스 7E75404 7E85404_SHN,25000,18250,27
스포츠/자동차,등산/아웃도어,8,[웨스트우드]웨스트우드 FW 경량/다운/패딩점퍼 세일전,229000,69900,69
스포츠/자동차,구기/라켓,11,[나이키]나이키 축구공 모음 골키퍼장갑 양말 정강이보호대,46000,14000,69
스포츠/자동차,구기/라켓,12,[썬버드]연습용 아동용 주니어용 성인용 야구글러브 모음전,16000,15400,3
스포츠/자동차,구기/라켓,13,[아디다스]아디다스본사어드밴티지 /F36481,54170,54170,0
스포츠/자동차,구기/라켓,14,[미즈노]380196 MIZUNO 사무라이 렉가드,129000,123840,4
스포츠/자동차,캠핑/낚시,6,1+1 LED 캠핑 랜턴 태양열 충전식 라이트 -캠핑 랜턴,10900,10580,2
스포츠/자동차,캠핑/낚시,7,[인텍스]INTEX 듀라빔 에어매트+핸드펌프/캠핑 매트 침대,48000,14410,69
스포츠/자동차,캠핑/낚시,8,[로티캠프]S급 전시상품 / 에코 로우체어 1+1 한정수량,49900,44910,10
식품,ALL,5,[다향오리]다향오리 훈제슬라이스 200gx10팩,24500,24500,0
식품,ALL,6,옛날과자 1kg+1kg 추억의 팝핀전병 2박스/오란다/전병,23200,16350,29
식품,ALL,7,최상급 통통 왕새우 1kg 20-25미 / 쿠폰적용가 23920원,29900,29610,0
식품,ALL,8,동해 자연산 반건조 오징어 10미 / 700-800g /40% 건조,24900,24900,0
스포츠/자동차,골프,11,[부쉬넬](신세계타임스퀘어점패션관)[카네정품]부쉬넬 거리측정기 PRO XE출시  CR2 건전지 증정 -백화점상품- ,650000,585000,10
스포츠/자동차,골프,12,차쉬넬 MiLESEEY 골프거리 레이저 측정기PF210,62600,54500,12
스포츠/자동차,골프,13,[아디다스]클래식 아노락 GD2061,69300,55440,20
스포츠/자동차,골프,14,[X스파이더스]올양피/반양피 골프장갑 4장 왼손/오른손/양손(남/여),22000,22000,0
스포츠/자동차,휘트니스/수영,14,[이고진]워킹머신 9200 저소음 접이식 런닝머신,249000,235210,5
스포츠/자동차,휘트니스/수영,15,[아이온]스마트 자동 회전 훌라후프 떨어지지않는훌라후프,30000,29000,3
스포츠/자동차,휘트니스/수영,16,NBR/TPE 두꺼운 요가매트 10mm16mm20mm 운동 헬스메트,14000,13600,2
스포츠/자동차,휘트니스/수영,17,[반석스포츠]비스펙 치닝디핑 철봉 턱걸이 홈트,65500,64260,1
스포츠/자동차,스포츠의류/운동화,13,[아디다스](신세계김해점)[RUNNING] 런닝화 (FX3625 FX3642 FX3626 FX3627 FW3246 EH3369),51000,39730,22
스포츠/자동차,스포츠의류/운동화,14,[챔피온][나이키 외] 가을신상의류 특가,35800,32220,10
스포츠/자동차,스포츠의류/운동화,15,[프로월드컵]22%추가쿠폰 100매입 덴탈마스크/KF94/3중필터,31800,15900,50
스포츠/자동차,스포츠의류/운동화,16,[프로스펙스]프로스펙스 발편한 워킹화/스니커즈/운동화 19000원~,95000,29000,69
여행,ALL,11,|제주 호텔| 메리어트관 제주신화월드 호텔앤리조트 (서귀포시),127490,127490,0
여행,ALL,12,삼척쏠비치호텔앤리조트(강원도/삼척/호텔예약),135000,135000,0
여행,ALL,13,|강원 호텔| 평창 라마다호텔&스위트 바이 윈덤 (평창),75000,75000,0
